junction_id,connection_id,issue,detail
1035,4,connector_end_pose_mismatch,3.5
1035,7,connector_start_pose_mismatch,3.5
1035,7,connector_end_pose_mismatch,3.5
1036,1,connector_end_pose_mismatch,3.5
102,0,connector_end_pose_mismatch,3.5
1037,0,connector_end_pose_mismatch,3.5
1039,6,connector_start_pose_mismatch,3.5
1039,6,connector_end_pose_mismatch,3.5
1040,,high_connection_count,22
1040,4,connector_start_pose_mismatch,3.5
1040,4,connector_end_pose_mismatch,3.5
1040,21,connector_start_pose_mismatch,3.5
1040,21,connector_end_pose_mismatch,3.5
1041,3,connector_start_pose_mismatch,3.5
1041,3,connector_end_pose_mismatch,3.5
1041,7,connector_start_pose_mismatch,3.5
1041,7,connector_end_pose_mismatch,3.5
1041,11,connector_start_pose_mismatch,3.499999
1041,11,connector_end_pose_mismatch,3.5
1041,15,connector_start_pose_mismatch,3.5
1041,15,connector_end_pose_mismatch,3.5
1042,2,connector_start_pose_mismatch,3.5
1042,2,connector_end_pose_mismatch,3.5
1042,5,connector_start_pose_mismatch,3.5
1042,5,connector_end_pose_mismatch,3.5
1042,8,connector_start_pose_mismatch,3.5
1042,8,connector_end_pose_mismatch,3.5
1043,2,connector_end_pose_mismatch,3.499999
1044,3,connector_start_pose_mismatch,3.499999
1046,3,connector_start_pose_mismatch,3.5
1046,3,connector_end_pose_mismatch,3.5
1046,7,connector_start_pose_mismatch,3.5
1046,7,connector_end_pose_mismatch,3.500001
103,0,connector_end_pose_mismatch,3.5
1051,2,connector_start_pose_mismatch,3.5
1051,2,connector_end_pose_mismatch,3.5
1051,5,connector_start_pose_mismatch,3.499999
1051,5,connector_end_pose_mismatch,3.5
1052,4,connector_start_pose_mismatch,3.5
1052,4,connector_end_pose_mismatch,3.5
1055,3,connector_start_pose_mismatch,3.5
1055,3,connector_end_pose_mismatch,3.5
1057,2,connector_start_pose_mismatch,3.5
1057,2,connector_end_pose_mismatch,3.5
1057,5,connector_start_pose_mismatch,3.5
1057,5,connector_end_pose_mismatch,3.5
104,0,connector_start_pose_mismatch,3.5
104,2,connector_start_pose_mismatch,3.5
104,2,connector_end_pose_mismatch,3.5
1058,2,connector_start_pose_mismatch,3.5
1058,2,connector_end_pose_mismatch,3.5
378,3,connector_start_pose_mismatch,3.5
378,3,connector_end_pose_mismatch,3.5
378,7,connector_start_pose_mismatch,3.5
378,7,connector_end_pose_mismatch,3.5
1059,4,connector_start_pose_mismatch,3.5
1059,4,connector_end_pose_mismatch,3.5
1060,2,connector_start_pose_mismatch,3.500001
1060,2,connector_end_pose_mismatch,3.5
1060,5,connector_start_pose_mismatch,3.499999
1060,5,connector_end_pose_mismatch,3.5
1060,8,connector_start_pose_mismatch,3.5
1060,8,connector_end_pose_mismatch,3.5
1061,4,connector_start_pose_mismatch,3.5
1061,4,connector_end_pose_mismatch,3.5
1062,2,connector_start_pose_mismatch,3.5
1062,2,connector_end_pose_mismatch,3.5
1062,7,connector_start_pose_mismatch,3.5
1062,7,connector_end_pose_mismatch,3.5
1063,4,connector_start_pose_mismatch,3.5
1063,4,connector_end_pose_mismatch,3.5
1063,7,connector_start_pose_mismatch,3.5
1063,7,connector_end_pose_mismatch,3.5
1064,2,connector_start_pose_mismatch,3.500001
1064,2,connector_end_pose_mismatch,3.499999
1064,7,connector_start_pose_mismatch,3.500001
1064,7,connector_end_pose_mismatch,3.5
1065,2,connector_start_pose_mismatch,3.5
1065,2,connector_end_pose_mismatch,3.5
1066,2,connector_start_pose_mismatch,3.499999
1066,2,connector_end_pose_mismatch,3.5
1066,5,connector_start_pose_mismatch,3.5
1066,5,connector_end_pose_mismatch,3.5
1066,8,connector_start_pose_mismatch,3.5
1066,8,connector_end_pose_mismatch,3.5
105,1,connector_end_pose_mismatch,3.5
1068,2,connector_start_pose_mismatch,3.5
1068,2,connector_end_pose_mismatch,3.5
1069,2,connector_start_pose_mismatch,3.5
1069,2,connector_end_pose_mismatch,3.5
