road_id,relation,elementType,elementId,source_contact,target_contact,xy_gap_m,hdg_gap_deg,z_gap_m,issue
42577,predecessor,junction,373,start,,,,,non_road_link
42577,successor,junction,374,end,,,,,non_road_link
42578,predecessor,junction,375,start,,,,,non_road_link
42578,successor,junction,376,end,,,,,non_road_link
42579,predecessor,junction,377,start,,,,,non_road_link
42579,successor,junction,375,end,,,,,non_road_link
42580,predecessor,junction,376,start,,,,,non_road_link
42580,successor,junction,378,end,,,,,non_road_link
42581,predecessor,junction,379,start,,,,,non_road_link
42581,successor,junction,380,end,,,,,non_road_link
42582,predecessor,junction,381,start,,,,,non_road_link
42582,successor,junction,382,end,,,,,non_road_link
42583,successor,junction,381,end,,,,,non_road_link
42584,predecessor,junction,381,start,,,,,non_road_link
42585,successor,junction,383,end,,,,,non_road_link
42586,predecessor,junction,384,start,,,,,non_road_link
42586,successor,junction,385,end,,,,,non_road_link
42587,predecessor,junction,386,start,,,,,non_road_link
42587,successor,junction,384,end,,,,,non_road_link
42588,predecessor,junction,387,start,,,,,non_road_link
42588,successor,junction,386,end,,,,,non_road_link
42589,predecessor,junction,388,start,,,,,non_road_link
42589,successor,junction,387,end,,,,,non_road_link
42590,predecessor,junction,389,start,,,,,non_road_link
42590,successor,junction,388,end,,,,,non_road_link
42591,predecessor,junction,390,start,,,,,non_road_link
42591,successor,junction,389,end,,,,,non_road_link
42592,predecessor,junction,330,start,,,,,non_road_link
42592,successor,junction,390,end,,,,,non_road_link
42593,predecessor,junction,391,start,,,,,non_road_link
42593,successor,junction,392,end,,,,,non_road_link
42594,predecessor,junction,393,start,,,,,non_road_link
42594,successor,junction,391,end,,,,,non_road_link
42595,predecessor,junction,394,start,,,,,non_road_link
42595,successor,junction,395,end,,,,,non_road_link
42596,successor,junction,396,end,,,,,non_road_link
42597,predecessor,junction,396,start,,,,,non_road_link
42597,successor,junction,397,end,,,,,non_road_link
42598,predecessor,junction,306,start,,,,,non_road_link
42598,successor,junction,398,end,,,,,non_road_link
42599,predecessor,junction,399,start,,,,,non_road_link
42599,successor,junction,400,end,,,,,non_road_link
42600,predecessor,junction,401,start,,,,,non_road_link
42600,successor,junction,402,end,,,,,non_road_link
42601,predecessor,junction,403,start,,,,,non_road_link
42601,successor,junction,400,end,,,,,non_road_link
42602,predecessor,junction,404,start,,,,,non_road_link
42602,successor,junction,405,end,,,,,non_road_link
42603,predecessor,junction,406,start,,,,,non_road_link
42603,successor,junction,407,end,,,,,non_road_link
42604,successor,junction,408,end,,,,,non_road_link
42605,predecessor,junction,409,start,,,,,non_road_link
42605,successor,junction,102,end,,,,,non_road_link
42606,predecessor,junction,410,start,,,,,non_road_link
42606,successor,junction,411,end,,,,,non_road_link
42607,predecessor,junction,412,start,,,,,non_road_link
42607,successor,junction,413,end,,,,,non_road_link
42608,predecessor,junction,414,start,,,,,non_road_link
42608,successor,junction,246,end,,,,,non_road_link
42609,predecessor,junction,415,start,,,,,non_road_link
42609,successor,junction,416,end,,,,,non_road_link
42610,predecessor,junction,417,start,,,,,non_road_link
42610,successor,junction,415,end,,,,,non_road_link
42611,predecessor,junction,418,start,,,,,non_road_link
42611,successor,junction,419,end,,,,,non_road_link
42612,predecessor,junction,110,start,,,,,non_road_link
42612,successor,junction,420,end,,,,,non_road_link
42613,predecessor,junction,421,start,,,,,non_road_link
42613,successor,junction,329,end,,,,,non_road_link
42614,predecessor,junction,422,start,,,,,non_road_link
42614,successor,junction,147,end,,,,,non_road_link
42615,predecessor,junction,423,start,,,,,non_road_link
42615,successor,junction,424,end,,,,,non_road_link
42616,predecessor,junction,425,start,,,,,non_road_link
42616,successor,junction,426,end,,,,,non_road_link
42617,predecessor,junction,427,start,,,,,non_road_link
42617,successor,junction,428,end,,,,,non_road_link
42618,predecessor,junction,429,start,,,,,non_road_link
42618,successor,junction,430,end,,,,,non_road_link
42619,predecessor,junction,430,start,,,,,non_road_link
42619,successor,junction,431,end,,,,,non_road_link
42620,predecessor,junction,432,start,,,,,non_road_link
42620,successor,junction,14,end,,,,,non_road_link
42621,predecessor,junction,299,start,,,,,non_road_link
42621,successor,junction,433,end,,,,,non_road_link
42622,predecessor,junction,433,start,,,,,non_road_link
42622,successor,junction,434,end,,,,,non_road_link
42623,predecessor,junction,434,start,,,,,non_road_link
42623,successor,junction,301,end,,,,,non_road_link
42624,predecessor,junction,435,start,,,,,non_road_link
42624,successor,junction,436,end,,,,,non_road_link
42625,predecessor,junction,437,start,,,,,non_road_link
42625,successor,junction,438,end,,,,,non_road_link
